expName,curec_ID,session,condition,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,False,True,None,None,1,1,0,1,200,267,4.2,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,False,True,None,None,2,1,0,2,200,267,4.2,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,False,True,None,None,3,1,0,3,200,245,3.8000000000000003,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,False,True,None,None,4,1,0,4,200,230,3.4000000000000004,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.0000000000000004,220,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,False,True,None,None,5,1,0,5,200,220,3.0000000000000004,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,None,None,6,2,0,1,200,213,2.6000000000000005,right,left,False,79.75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,None,None,7,2,0,2,200,213,2.6000000000000005,right,left,False,90.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,None,None,8,2,0,3,200,213,2.6000000000000005,right,left,False,76.75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,None,None,9,2,0,4,200,213,2.6000000000000005,left,left,True,94.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,None,None,10,2,0,5,200,213,2.6000000000000005,right,left,False,81.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,11,3,1,1,200,213,2.6000000000000005,left,left,True,75.25,left,True,68.06,True,True,False,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,12,3,1,2,200,213,2.6000000000000005,right,left,False,88.88,right,True,70.65,False,True,False,0,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,13,4,2,1,200,213,2.6000000000000005,left,left,True,74.0,left,True,69.91,True,True,False,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,14,4,2,2,200,213,2.6000000000000005,right,left,False,85.0,right,True,66.53,False,True,False,0,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,15,5,3,1,200,213,2.6000000000000005,right,left,False,76.5,right,True,67.83,False,True,False,0,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,16,5,3,2,200,213,2.6000000000000005,left,left,True,89.5,right,False,66.66,True,True,False,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,17,6,4,1,200,213,2.6000000000000005,left,left,True,77.0,left,True,60.35,True,True,False,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,18,6,4,2,200,213,2.6000000000000005,right,left,False,88.75,left,False,65.63,False,True,False,0,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,19,7,5,1,200,213,2.6000000000000005,left,left,True,75.38,left,True,61.57,True,True,False,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,underconfident,magenta,20,7,5,2,200,213,2.6000000000000005,left,left,True,82.62,left,True,67.77,True,True,False,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,21,8,1,1,200,213,2.6000000000000005,right,right,True,80.62,left,False,95.8,False,False,True,0,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,22,8,1,2,200,213,2.6000000000000005,right,left,False,80.38,right,True,91.61,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,23,9,2,1,200,213,2.6000000000000005,right,left,False,82.75,right,True,93.39,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,24,9,2,2,200,213,2.6000000000000005,right,left,False,74.25,right,True,93.85,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,25,10,3,1,200,213,2.6000000000000005,right,right,True,77.25,right,True,95.21,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,26,10,3,2,200,213,2.6000000000000005,left,left,True,75.88,left,True,91.71,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,27,11,4,1,200,213,2.6000000000000005,right,left,False,76.75,right,True,91.72,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,28,11,4,2,200,213,2.6000000000000005,left,left,True,85.0,right,False,89.1,False,False,True,0,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,29,12,5,1,200,213,2.6000000000000005,left,left,True,82.38,right,False,90.24,False,False,True,0,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,R67369/RE001,2,s,2021_Sep_28_1236,None,23,22,o,True,False,overconfident,yellow,30,12,5,2,200,213,2.6000000000000005,right,left,False,90.12,right,True,89.23,False,True,False,0,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
None,None,None,None,None,2021_Sep_28_1250,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.0,0.24,6,7,4,8,4,4,7,5,None,None,None,None
