expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,decision_rt,confidence_rt,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,next_squircle_difference,previous_trial_correct
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,False,True,None,None,1,1,0,1,200,267,None,None,4.2,right,right,True,None,None,None,None,None,None,None,0.6495907999924384,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,False,True,None,None,2,1,0,2,200,267,None,None,4.2,right,right,True,None,None,None,None,None,None,None,0.44809319998603314,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,False,True,None,None,3,1,0,3,200,245,None,None,3.8000000000000003,left,left,True,None,None,None,None,None,None,None,0.3294041999906767,None,None,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,False,True,None,None,4,1,0,4,200,230,None,None,3.4000000000000004,right,left,False,None,None,None,None,None,None,None,0.30517790000885725,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,0.25,False
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,False,True,None,None,5,1,0,5,200,245,None,None,3.8000000000000003,right,left,False,None,None,None,None,None,None,None,0.38497559999814257,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,False
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,True,False,None,None,6,2,0,1,200,267,None,None,4.2,left,left,True,71.75,None,None,None,None,None,None,0.5661485000018729,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,True,False,None,None,7,2,0,2,200,267,None,None,4.2,left,left,True,77.0,None,None,None,None,None,None,0.45193310000468045,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,True,False,None,None,8,2,0,3,200,267,None,None,4.2,right,left,False,79.75,None,None,None,None,None,None,0.30510890000732616,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,False
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,True,False,None,None,9,2,0,4,200,267,None,None,4.2,left,right,False,83.5,None,None,None,None,None,None,0.3089227000018582,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,False
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,True,False,None,None,10,2,0,5,200,267,None,None,4.2,left,left,True,73.62,None,None,None,None,None,None,3.036119199998211,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,True,False,overconfident,yellow,11,3,1,1,200,267,None,None,4.2,left,left,True,86.75,left,True,86.98,None,None,None,0.5227664999983972,None,0.75255625,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,True,False,overconfident,yellow,12,3,1,2,200,267,None,None,4.2,left,left,True,77.75,right,False,91.76,None,None,None,0.3427771999995457,None,0.6045062499999999,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,True,False,overconfident,yellow,13,3,1,3,200,267,None,None,4.2,left,left,True,75.0,left,True,93.58,None,None,None,0.3273004999937257,None,0.5625,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1754,None,,,,True,False,overconfident,yellow,14,3,1,4,200,267,None,None,4.2,left,left,True,87.25,left,True,94.62,None,None,None,0.30519149999599904,None,0.7612562500000001,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,True
