expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,decision_rt,confidence_rt,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,False,True,None,None,1,1,0,1,None,None,0.01,0.077,4.2,right,left,False,None,None,None,None,None,None,None,0.9508606999879703,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,False,True,None,None,2,1,0,2,None,None,0.17,0.269,4.6000000000000005,left,left,True,None,None,None,None,None,None,None,0.5531922000227496,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,False,True,None,None,3,1,0,3,None,None,0.74,0.839,4.6000000000000005,right,right,True,None,None,None,None,None,None,None,0.8386611000169069,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,False,True,None,None,4,1,0,4,None,None,0.47,0.5369999999999999,4.2,left,left,True,None,None,None,None,None,None,None,0.8752148000057787,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,False,True,None,None,5,1,0,5,None,None,0.81,0.8550000000000001,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,0.8443476000102237,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,True,False,None,None,6,2,0,1,None,None,0.16,0.19,3.4000000000000004,right,right,True,70.38,None,None,None,None,None,None,0.524701299960725,1.2577814999967813,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,True,False,None,None,7,2,0,2,None,None,0.06,0.09,3.4000000000000004,left,left,True,76.75,None,None,None,None,None,None,0.6055154000059702,0.9675800999975763,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,True,False,None,None,8,2,0,3,None,None,0.79,0.8200000000000001,3.4000000000000004,left,right,False,76.75,None,None,None,None,None,None,0.8507523000007495,1.0431843000114895,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,True,False,None,None,9,2,0,4,None,None,0.31,0.33999999999999997,3.4000000000000004,right,right,True,75.75,None,None,None,None,None,None,1.1489650000003166,1.1057776999659836,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,True,False,None,None,10,2,0,5,None,None,0.13,0.16,3.4000000000000004,right,right,True,76.88,None,None,None,None,None,None,0.5846745999879204,0.6871172999963164,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,True,False,underconfident,magenta,11,3,1,1,None,None,0.47,0.5,3.4000000000000004,left,left,True,80.62,left,True,67.53,None,None,None,0.45852350001223385,0.9365364999976009,0.64995844,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,True,False,underconfident,magenta,12,3,1,2,None,None,0.7,0.73,3.4000000000000004,left,right,False,75.25,left,True,67.55,None,None,None,0.5906500999699347,0.8535676999599673,0.061256250000000026,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,True,False,underconfident,magenta,13,3,1,3,None,None,0.7,0.73,3.4000000000000004,right,right,True,84.5,right,True,63.6,None,None,None,0.5950461000320502,0.8599152999813668,0.7140249999999999,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_11_1130,None,,,,True,False,underconfident,magenta,14,3,1,4,None,None,0.21,0.24,3.4000000000000004,left,left,True,69.88,left,True,65.84,None,None,None,0.5214481999864802,0.7575843999511562,0.48832143999999994,None,None,None,None,None,None,None,None,None,None
