expName,session,condition,date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,False,True,None,None,0,0,200,267,4.2,right,right,True,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,False,True,None,None,0,1,200,267,4.2,left,left,True,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,False,True,None,None,0,2,200,245,3.8000000000000003,left,left,True,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,False,True,None,None,0,3,200,230,3.4000000000000004,left,left,True,None,None,None,None,200,3.0000000000000004,220,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,False,True,None,None,0,4,200,220,3.0000000000000004,left,left,True,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,None,None,0,0,200,213,2.6000000000000005,right,left,False,62.12,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,None,None,0,1,200,213,2.6000000000000005,left,left,True,78.0,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,None,None,0,2,200,213,2.6000000000000005,left,left,True,70.88,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,None,None,0,3,200,213,2.6000000000000005,left,left,True,85.62,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,None,None,0,4,200,213,2.6000000000000005,right,right,True,56.5,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,overconfident,magenta,0,0,200,213,2.6000000000000005,right,left,False,73.62,right,True,77.78,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,overconfident,magenta,0,1,200,213,2.6000000000000005,left,left,True,88.12,right,False,74.01,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,overconfident,magenta,0,2,200,213,2.6000000000000005,left,right,False,76.62,right,False,84.79,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,overconfident,magenta,1,0,200,213,2.6000000000000005,left,right,False,80.5,left,True,71.18,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,overconfident,magenta,1,1,200,213,2.6000000000000005,right,right,True,80.5,right,True,76.89,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,overconfident,magenta,1,2,200,213,2.6000000000000005,left,left,True,80.62,right,False,85.2,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,overconfident,magenta,2,0,200,213,2.6000000000000005,left,left,True,83.75,left,True,89.98,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,overconfident,magenta,2,1,200,213,2.6000000000000005,left,right,False,83.12,right,False,88.27,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,overconfident,magenta,2,2,200,213,2.6000000000000005,left,right,False,88.75,left,True,79.32,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,underconfident,yellow,0,0,200,213,2.6000000000000005,left,right,False,62.12,left,True,31.43,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_27_2009,,,,True,False,underconfident,yellow,0,1,200,213,2.6000000000000005,left,left,True,55.12,left,True,34.79,200,2.6000000000000005,213,True
