expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,next_squircle_difference,previous_trial_correct
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,False,True,None,None,1,1,0,1,None,None,0.08,0.33,4.2,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.067,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,False,True,None,None,2,1,0,2,None,None,0.66,0.73,4.2,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,False,True,None,None,3,1,0,3,None,None,0.06,0.1,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,267,0.03,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,False,True,None,None,4,1,0,4,None,None,0.57,0.6,3.4000000000000004,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.0000000000000004,267,0.02,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,False,True,None,None,5,1,0,5,None,None,0.83,0.85,3.0000000000000004,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,None,None,6,2,0,1,None,None,0.68,0.69,2.6000000000000005,left,left,True,86.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,None,None,7,2,0,2,None,None,0.86,0.87,2.6000000000000005,left,right,False,74.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,False
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,None,None,8,2,0,3,None,None,0.72,0.73,2.6000000000000005,right,right,True,79.88,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,None,None,9,2,0,4,None,None,0.1,0.11,2.6000000000000005,right,right,True,73.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,None,None,10,2,0,5,None,None,0.05,0.06,2.6000000000000005,left,right,False,81.38,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,False
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,overconfident,yellow,11,3,1,1,None,None,0.63,0.64,2.6000000000000005,left,left,True,89.0,left,True,93.99,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,overconfident,yellow,12,3,1,2,None,None,0.66,0.67,2.6000000000000005,right,right,True,74.12,right,True,95.16,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,overconfident,yellow,13,3,1,3,None,None,0.26,0.27,2.6000000000000005,right,right,True,88.0,right,True,88.89,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,True
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,overconfident,yellow,14,3,1,4,None,None,0.21,0.22,2.6000000000000005,left,right,False,93.25,left,True,91.63,False,True,False,0,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,False
Confidence Matching EEG,R67369/RE001,,s,s,2021_Sep_30_1447,None,,,,True,False,overconfident,yellow,15,3,1,5,None,None,0.84,0.85,2.6000000000000005,left,right,False,88.88,left,True,91.44,True,False,True,1,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,267,0.013,False
